status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
186848211735810_193762394377725,Hold your breath!!!,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/193762394377725/?type=3,https://www.facebook.com/ifyouareinnitk/posts/193762394377725:0,2016-09-09 13:18:28,8,0,0,8,0,0,0,0,0
186848211735810_193755354378429,,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/193755354378429/?type=3,https://www.facebook.com/ifyouareinnitk/posts/193755354378429:0,2016-09-09 13:02:04,8,0,0,8,0,0,0,0,0
186848211735810_193731754380789,,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/193731754380789/?type=3,https://www.facebook.com/ifyouareinnitk/posts/193731754380789:0,2016-09-09 11:50:38,9,0,0,9,0,0,0,0,0
186848211735810_193725611048070,,If you are in NITK,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186861085067856.1073741826.186848211735810/193725594381405/?type=3,https://www.facebook.com/ifyouareinnitk/posts/193725611048070:0,2016-09-09 11:35:57,11,0,0,11,0,0,0,0,0
186848211735810_193716197715678,,If you are in NITK's cover photo,photo,https://www.facebook.com/ifyouareinnitk/photos/a.193716191049012.1073741828.186848211735810/193716177715680/?type=3,https://www.facebook.com/ifyouareinnitk/posts/193716197715678,2016-09-09 11:04:52,6,0,0,6,0,0,0,0,0
186848211735810_193452381075393,,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/193452381075393/?type=3,https://www.facebook.com/ifyouareinnitk/posts/193452381075393:0,2016-09-09 00:06:57,11,0,0,9,0,0,1,1,0
186848211735810_193096764444288,😂😂😂,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/193096764444288/?type=3,https://www.facebook.com/ifyouareinnitk/posts/193096764444288:0,2016-09-08 08:40:11,10,0,1,9,0,0,0,1,0
186848211735810_191725111248120,,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/191725111248120/?type=3,https://www.facebook.com/ifyouareinnitk/posts/191725111248120:0,2016-09-06 03:03:18,10,0,0,9,0,0,1,0,0
186848211735810_188779181542713,When the quiz comes,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/188779181542713/?type=3,https://www.facebook.com/ifyouareinnitk/posts/188779181542713:0,2016-08-31 11:19:01,15,0,0,15,0,0,0,0,0
186848211735810_188119584942006,Happens in the end of the month,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/188119584942006/?type=3,https://www.facebook.com/ifyouareinnitk/posts/188119584942006:0,2016-08-30 09:26:57,9,0,0,8,0,0,0,0,1
186848211735810_187802934973671,Today s8 be like,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/187802934973671/?type=3,https://www.facebook.com/ifyouareinnitk/posts/187802934973671:0,2016-08-29 22:44:02,18,0,1,14,0,0,4,0,0
186848211735810_187238458363452,,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/187238458363452/?type=3,https://www.facebook.com/ifyouareinnitk/posts/187238458363452:0,2016-08-28 22:06:10,14,0,0,12,0,0,2,0,0
186848211735810_187034038383894,Ooh maths quiz,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/187034038383894/?type=3,https://www.facebook.com/ifyouareinnitk/posts/187034038383894:0,2016-08-28 13:01:50,29,1,2,19,0,0,9,1,0
186848211735810_186861115067853,,If you are in NITK,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186861085067856.1073741826.186848211735810/186861091734522/?type=3,https://www.facebook.com/ifyouareinnitk/posts/186861115067853:0,2016-08-28 07:24:40,16,0,0,16,0,0,0,0,0
186848211735810_186851205068844,,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/186851205068844/?type=3,https://www.facebook.com/ifyouareinnitk/posts/186851205068844:0,2016-08-28 07:08:28,11,0,0,10,0,0,0,1,0
